Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
0,0,0,05cc,-23497,0
1,1,0,05cc,-23497,0
2,2,1,05cc,-28452,1
3,3,0,05cc,-28452,1
4,4,0,05cc,17266,1
5,5,0,05cc,17266,1
6,6,0,05cc,3530,1
7,7,0,05cc,3530,1
8,8,0,05cc,3530,1
9,9,0,05cc,3530,1
10,10,0,05cc,3530,1
11,11,0,05cc,3530,1
12,12,0,05cc,3530,1
13,13,0,05cc,3530,1
14,14,0,05cc,3530,1
15,15,0,05cc,3530,1
16,16,0,05cc,3530,1
17,17,0,05cc,14120,1
18,18,0,05cc,14120,1
19,19,0,05cc,-9056,1
20,20,0,05cc,-9056,1
21,21,0,05cc,29315,1
22,22,0,05cc,29315,1
23,23,0,05cc,-13811,1
24,24,0,05cc,-13811,1
25,25,0,05cc,10293,1
26,26,0,05cc,10293,1
27,27,0,05cc,-24364,1
28,28,0,05cc,-24364,1
29,29,0,05cc,-31919,1
30,30,0,05cc,-31919,1
31,31,0,05cc,3396,1
32,32,0,05cc,3396,1
33,33,0,05cc,3396,1
34,34,0,05cc,3396,1
35,35,0,05cc,3396,1
36,36,0,05cc,3396,1
37,37,0,05cc,3396,1
38,38,0,05cc,3396,1
39,39,0,05cc,3396,1
40,40,0,05cc,3396,1
41,41,0,05cc,3396,1
42,42,0,05cc,13584,1
43,43,0,05cc,13584,1
44,44,0,05cc,-11200,1
45,45,0,05cc,-11200,1
46,46,0,05cc,20739,1
47,47,0,05cc,20739,1
48,48,0,05cc,17420,1
49,49,0,05cc,17420,1
50,50,0,05cc,4145,1
51,51,0,05cc,4145,1
52,52,0,05cc,16582,1
53,53,0,05cc,16582,1
54,54,0,05cc,795,1
55,55,0,05cc,795,1
56,56,0,05cc,3181,1
57,57,0,05cc,3181,1
58,58,0,05cc,3181,1
59,59,0,05cc,3181,1
60,60,0,05cc,3181,1
61,61,0,05cc,3181,1
62,62,0,05cc,3181,1
63,63,0,05cc,3181,1
64,64,0,05cc,3181,1
65,65,0,05cc,3181,1
66,66,0,05cc,3181,1
67,67,0,05cc,12724,1
68,68,0,05cc,12724,1
69,69,0,05cc,-14640,1
70,70,0,05cc,-14640,1
71,71,0,05cc,6979,1
72,72,0,05cc,6979,1
73,73,0,05cc,27918,1
74,74,0,05cc,27918,1
75,75,0,05cc,-19397,1
76,76,0,05cc,-19397,1
77,77,0,05cc,-12049,1
78,78,0,05cc,-12049,1
79,79,0,05cc,17342,1
80,80,0,05cc,17342,1
81,81,0,05cc,3833,1
82,82,0,05cc,3833,1
83,83,0,05cc,3833,1
84,84,0,05cc,3833,1
85,85,0,05cc,3833,1
86,86,0,05cc,3833,1
87,87,0,05cc,3833,1
88,88,0,05cc,3833,1
89,89,0,05cc,3833,1
90,90,0,05cc,3833,1
91,91,0,05cc,3833,1
92,92,0,05cc,15332,1
93,93,0,05cc,15332,1
94,94,0,05cc,-4207,1
95,95,0,05cc,-4207,1
96,96,0,05cc,-16827,1
97,97,0,05cc,-16827,1
98,98,0,05cc,-1769,1
99,99,0,05cc,-1769,1
100,100,0,05cc,-7074,1
101,101,0,05cc,-7074,1
102,102,0,05cc,-28296,1
103,103,0,05cc,-28296,1
104,104,0,05cc,17889,1
105,105,0,05cc,17889,1
106,106,0,05cc,6021,1
107,107,0,05cc,6021,1
108,108,0,05cc,6021,1
109,109,0,05cc,6021,1
110,110,0,05cc,6021,1
111,111,0,05cc,6021,1
112,112,0,05cc,6021,1
113,113,0,05cc,6021,1
114,114,0,05cc,6021,1
115,115,0,05cc,6021,1
116,116,0,05cc,6021,1
117,117,0,05cc,24084,1
118,118,0,05cc,24084,1
119,119,0,05cc,30801,1
120,120,0,05cc,30801,1
121,121,0,05cc,-7868,1
122,122,0,05cc,-7868,1
123,123,0,05cc,-31472,1
124,124,0,05cc,-31472,1
125,125,0,05cc,5185,1
126,126,0,05cc,5185,1
127,127,0,05cc,20743,1
128,128,0,05cc,20743,1
129,129,0,05cc,17439,1
130,130,0,05cc,17439,1
131,131,0,05cc,4220,1
132,132,0,05cc,4220,1
133,133,0,05cc,4220,1
134,134,0,05cc,4220,1
135,135,0,05cc,4220,1
