Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
217,217,0,061c,16754,1
218,218,0,061c,1481,1
219,219,0,061c,1481,1
220,220,0,061c,5924,1
221,221,0,061c,5924,1
222,222,0,061c,5924,1
223,223,0,061c,5924,1
224,224,0,061c,5924,1
225,225,0,061c,5924,1
226,226,0,061c,5924,1
227,227,0,061c,5924,1
228,228,0,061c,5924,1
229,229,0,061c,5924,1
230,230,0,061c,5924,1
231,231,0,061c,23696,1
232,232,0,061c,23696,1
233,233,0,061c,29249,1
234,234,0,061c,29249,1
235,235,0,061c,-14075,1
236,236,0,061c,-14075,1
237,237,0,061c,9237,1
238,238,0,061c,9237,1
239,239,0,061c,-28588,1
240,240,0,061c,-28588,1
241,241,0,061c,16723,1
242,242,0,061c,16723,1
243,243,0,061c,1359,1
244,244,0,061c,1359,1
245,245,0,061c,5437,1
246,246,0,061c,5437,1
247,247,0,061c,5437,1
248,248,0,061c,5437,1
249,249,0,061c,5437,1
250,250,0,061c,5437,1
251,251,0,061c,5437,1
252,252,0,061c,5437,1
253,253,0,061c,5437,1
254,254,0,061c,5437,1
255,255,0,061c,5437,1
256,256,0,061c,21748,1
257,257,0,061c,21748,1
258,258,0,061c,21457,1
259,259,0,061c,21457,1
260,260,0,061c,20293,1
261,261,0,061c,20293,1
262,262,0,061c,15639,1
263,263,0,061c,15639,1
264,264,0,061c,-2978,1
265,265,0,061c,-2978,1
266,266,0,061c,-11909,1
267,267,0,061c,-11909,1
268,268,0,061c,17903,1
269,269,0,061c,17903,1
270,270,0,061c,6078,1
271,271,0,061c,6078,1
272,272,0,061c,6078,1
273,273,0,061c,6078,1
274,274,0,061c,6078,1
275,275,0,061c,6078,1
276,276,0,061c,6078,1
277,277,0,061c,6078,1
278,278,0,061c,6078,1
279,279,0,061c,6078,1
280,280,0,061c,6078,1
281,281,0,061c,24312,1
282,282,0,061c,24312,1
283,283,0,061c,31713,1
284,284,0,061c,31713,1
285,285,0,061c,-4217,1
286,286,0,061c,-4217,1
287,287,0,061c,-16865,1
288,288,0,061c,-16865,1
289,289,0,061c,-1924,1
290,290,0,061c,-1924,1
291,291,0,061c,-7694,1
292,292,0,061c,-7694,1
293,293,0,061c,-30776,1
294,294,0,061c,-30776,1
295,295,0,061c,7968,1
296,296,0,061c,7968,1
297,297,0,061c,7968,1
298,298,0,061c,7968,1
299,299,0,061c,7968,1
300,300,0,061c,7968,1
301,301,0,061c,7968,1
302,302,0,061c,7968,1
303,303,0,061c,7968,1
304,304,0,061c,7968,1
305,305,0,061c,7968,1
306,306,0,061c,31872,1
307,307,0,061c,31872,1
308,308,0,061c,-3583,1
309,309,0,061c,-3583,1
310,310,0,061c,-14329,1
311,311,0,061c,-14329,1
312,312,0,061c,8221,1
313,313,0,061c,8221,1
314,314,0,061c,-32651,1
315,315,0,061c,-32651,1
316,316,0,061c,468,1
317,317,0,061c,468,1
318,318,0,061c,1874,1
319,319,0,061c,1874,1
320,320,0,061c,7496,1
321,321,0,061c,7496,1
322,322,0,061c,7496,1
323,323,0,061c,7496,1
324,324,0,061c,7496,1
325,325,0,061c,7496,1
326,326,0,061c,7496,1
327,327,0,061c,7496,1
328,328,0,061c,7496,1
329,329,0,061c,7496,1
330,330,0,061c,7496,1
331,331,0,061c,29984,1
332,332,0,061c,29984,1
333,333,0,061c,-11135,1
334,334,0,061c,-11135,1
335,335,0,061c,20998,1
336,336,0,061c,20998,1
337,337,0,061c,18456,1
338,338,0,061c,18456,1
339,339,0,061c,8290,1
340,340,0,061c,8290,1
341,341,0,061c,-32374,1
342,342,0,061c,-32374,1
343,343,0,061c,1576,1
344,344,0,061c,1576,1
345,345,0,061c,6307,1
346,346,0,061c,6307,1
347,347,0,061c,6307,1
348,348,0,061c,6307,1
349,349,0,061c,6307,1
350,350,0,061c,6307,1
351,351,0,061c,6307,1
352,352,0,061c,6307,1
353,353,0,061c,6307,1
354,354,0,061c,6307,1
355,355,0,061c,6307,1
356,356,0,061c,25228,1
357,357,0,061c,25228,1
358,358,0,061c,-30159,1
359,359,0,061c,-30159,1
360,360,0,061c,10438,1
361,361,0,061c,10438,1
362,362,0,061c,-23782,1
363,363,0,061c,-23782,1
364,364,0,061c,-29590,1
365,365,0,061c,-29590,1
366,366,0,061c,12713,1
367,367,0,061c,12713,1
368,368,0,061c,-14681,1
369,369,0,061c,-14681,1
370,370,0,061c,6812,1
371,371,0,061c,6812,1
372,372,0,061c,6812,1
373,373,0,061c,6812,1
374,374,0,061c,6812,1
375,375,0,061c,6812,1
376,376,0,061c,6812,1
377,377,0,061c,6812,1
378,378,0,061c,6812,1
379,379,0,061c,6812,1
380,380,0,061c,6812,1
381,381,0,061c,27248,1
382,382,0,061c,27248,1
383,383,0,061c,-22079,1
384,384,0,061c,-22079,1
385,385,0,061c,-22777,1
386,386,0,061c,-22777,1
387,387,0,061c,-25572,1
388,388,0,061c,-25572,1
389,389,0,061c,28786,1
390,390,0,061c,28786,1
391,391,0,061c,-15926,1
392,392,0,061c,-15926,1
393,393,0,061c,1832,1
394,394,0,061c,1832,1
395,395,0,061c,7329,1
396,396,0,061c,7329,1
397,397,0,061c,7329,1
398,398,0,061c,7329,1
399,399,0,061c,7329,1
400,400,0,061c,7329,1
401,401,0,061c,7329,1
402,402,0,061c,7329,1
403,403,0,061c,7329,1
404,404,0,061c,7329,1
405,405,0,061c,7329,1
406,406,0,061c,29316,1
407,407,0,061c,29316,1
408,408,0,061c,-13807,1
409,409,0,061c,-13807,1
410,410,0,061c,10311,1
411,411,0,061c,10311,1
412,412,0,061c,-24292,1
413,413,0,061c,-24292,1
414,414,0,061c,-31632,1
415,415,0,061c,-31632,1
416,416,0,061c,4546,1
417,417,0,061c,4546,1
418,418,0,061c,18186,1
419,419,0,061c,18186,1
420,420,0,061c,7209,1
421,421,0,061c,7209,1
422,422,0,061c,7209,1
423,423,0,061c,7209,1
424,424,0,061c,7209,1
425,425,0,061c,7209,1
426,426,0,061c,7209,1
427,427,0,061c,7209,1
428,428,0,061c,7209,1
429,429,0,061c,7209,1
430,430,0,061c,7209,1
431,431,0,061c,28836,1
432,432,0,061c,28836,1
433,433,0,061c,-15727,1
434,434,0,061c,-15727,1
435,435,0,061c,2630,1
436,436,0,061c,2630,1
437,437,0,061c,10522,1
438,438,0,061c,10522,1
439,439,0,061c,-23445,1
440,440,0,061c,-23445,1
441,441,0,061c,-28242,1
442,442,0,061c,-28242,1
443,443,0,061c,18104,1
444,444,0,061c,18104,1
445,445,0,061c,6882,1
446,446,0,061c,6882,1
447,447,0,061c,6882,1
448,448,0,061c,6882,1
449,449,0,061c,6882,1
450,450,0,061c,6882,1
451,451,0,061c,6882,1
452,452,0,061c,6882,1
453,453,0,061c,6882,1
454,454,0,061c,6882,1
455,455,0,061c,6882,1
456,456,0,061c,27528,1
457,457,0,061c,27528,1
458,458,0,061c,-20959,1
459,459,0,061c,-20959,1
460,460,0,061c,-18298,1
461,461,0,061c,-18298,1
462,462,0,061c,-7653,1
463,463,0,061c,-7653,1
464,464,0,061c,-30609,1
465,465,0,061c,-30609,1
466,466,0,061c,8638,1
467,467,0,061c,8638,1
468,468,0,061c,-30984,1
469,469,0,061c,-30984,1
470,470,0,061c,7139,1
471,471,0,061c,7139,1
472,472,0,061c,7139,1
473,473,0,061c,7139,1
474,474,0,061c,7139,1
475,475,0,061c,7139,1
476,476,0,061c,7139,1
477,477,0,061c,7139,1
478,478,0,061c,7139,1
479,479,0,061c,7139,1
480,480,0,061c,7139,1
481,481,0,061c,28556,1
482,482,0,061c,28556,1
483,483,0,061c,-16847,1
484,484,0,061c,-16847,1
485,485,0,061c,-1849,1
486,486,0,061c,-1849,1
487,487,0,061c,-7395,1
488,488,0,061c,-7395,1
489,489,0,061c,-29578,1
490,490,0,061c,-29578,1
491,491,0,061c,12763,1
492,492,0,061c,12763,1
493,493,0,061c,-14481,1
494,494,0,061c,-14481,1
495,495,0,061c,7613,1
496,496,0,061c,7613,1
497,497,0,061c,7613,1
498,498,0,061c,7613,1
499,499,0,061c,7613,1
500,500,0,061c,7613,1
501,501,0,061c,7613,1
502,502,0,061c,7613,1
503,503,0,061c,7613,1
504,504,0,061c,7613,1
505,505,0,061c,7613,1
506,506,0,061c,30452,1
507,507,0,061c,30452,1
508,508,0,061c,-9263,1
509,509,0,061c,-9263,1
510,510,0,061c,28487,1
511,511,0,061c,28487,1
512,512,0,061c,-17122,1
513,513,0,061c,-17122,1
514,514,0,061c,-2950,1
515,515,0,061c,-2950,1
516,516,0,061c,-11797,1
517,517,0,061c,-11797,1
518,518,0,061c,18349,1
519,519,0,061c,18349,1
520,520,0,061c,7863,1
521,521,0,061c,7863,1
522,522,0,061c,7863,1
523,523,0,061c,7863,1
524,524,0,061c,7863,1
525,525,0,061c,7863,1
526,526,0,061c,7863,1
527,527,0,061c,7863,1
528,528,0,061c,7863,1
529,529,0,061c,7863,1
530,530,0,061c,7863,1
531,531,0,061c,31452,1
532,532,0,061c,31452,1
533,533,0,061c,-5263,1
534,534,0,061c,-5263,1
535,535,0,061c,-21049,1
536,536,0,061c,-21049,1
537,537,0,061c,-18658,1
538,538,0,061c,-18658,1
539,539,0,061c,-9096,1
540,540,0,061c,-9096,1
541,541,0,061c,29152,1
542,542,0,061c,29152,1
543,543,0,061c,-14464,1
544,544,0,061c,-14464,1
545,545,0,061c,7680,1
546,546,0,061c,7680,1
547,547,0,061c,7680,1
548,548,0,061c,7680,1
549,549,0,061c,7680,1
550,550,0,061c,7680,1
551,551,0,061c,7680,1
552,552,0,061c,7680,1
553,553,0,061c,7680,1
554,554,0,061c,7680,1
555,555,0,061c,7680,1
556,556,0,061c,30720,1
557,557,0,061c,30720,1
558,558,0,061c,-8191,1
559,559,0,061c,-8191,1
560,560,0,061c,-32761,1
561,561,0,061c,-32761,1
562,562,0,061c,30,1
563,563,0,061c,30,1
564,564,0,061c,122,1
565,565,0,061c,122,1
566,566,0,061c,489,1
567,567,0,061c,489,1
568,568,0,061c,1959,1
569,569,0,061c,1959,1
570,570,0,061c,7837,1
571,571,0,061c,7837,1
572,572,0,061c,7837,1
573,573,0,061c,7837,1
574,574,0,061c,7837,1
575,575,0,061c,7837,1
576,576,0,061c,7837,1
577,577,0,061c,7837,1
578,578,0,061c,7837,1
579,579,0,061c,7837,1
580,580,0,061c,7837,1
581,581,0,061c,31348,1
582,582,0,061c,31348,1
583,583,0,061c,-5679,1
584,584,0,061c,-5679,1
585,585,0,061c,-22713,1
586,586,0,061c,-22713,1
587,587,0,061c,-25315,1
588,588,0,061c,-25315,1
589,589,0,061c,29815,1
590,590,0,061c,29815,1
591,591,0,061c,-11811,1
592,592,0,061c,-11811,1
593,593,0,061c,18294,1
594,594,0,061c,18294,1
595,595,0,061c,7642,1
596,596,0,061c,7642,1
597,597,0,061c,7642,1
598,598,0,061c,7642,1
599,599,0,061c,7642,1
600,600,0,061c,7642,1
601,601,0,061c,7642,1
602,602,0,061c,7642,1
603,603,0,061c,7642,1
604,604,0,061c,7642,1
605,605,0,061c,7642,1
606,606,0,061c,30568,1
607,607,0,061c,30568,1
608,608,0,061c,-8799,1
609,609,0,061c,-8799,1
610,610,0,061c,30343,1
611,611,0,061c,30343,1
612,612,0,061c,-9697,1
613,613,0,061c,-9697,1
614,614,0,061c,26751,1
615,615,0,061c,26751,1
616,616,0,061c,-24066,1
617,617,0,061c,-24066,1
618,618,0,061c,-30728,1
619,619,0,061c,-30728,1
620,620,0,061c,8160,1
621,621,0,061c,8160,1
622,622,0,061c,8160,1
623,623,0,061c,8160,1
624,624,0,061c,8160,1
625,625,0,061c,8160,1
626,626,0,061c,8160,1
627,627,0,061c,8160,1
628,628,0,061c,8160,1
629,629,0,061c,8160,1
630,630,0,061c,8160,1
631,631,0,061c,32640,1
632,632,0,061c,32640,1
633,633,0,061c,-510,1
634,634,0,061c,-510,1
635,635,0,061c,-2040,1
636,636,0,061c,-2040,1
637,637,0,061c,-8160,1
638,638,0,061c,-8160,1
639,639,0,061c,-32639,1
640,640,0,061c,-32639,1
641,641,0,061c,517,1
642,642,0,061c,517,1
643,643,0,061c,2071,1
644,644,0,061c,2071,1
645,645,0,061c,8285,1
646,646,0,061c,8285,1
647,647,0,061c,8285,1
648,648,0,061c,8285,1
649,649,0,061c,8285,1
650,650,0,061c,8285,1
651,651,0,061c,8285,1
652,652,0,061c,8285,1
653,653,0,061c,8285,1
654,654,0,061c,8285,1
655,655,0,061c,8285,1
656,656,0,061c,-32396,1
657,657,0,061c,-32396,1
658,658,0,061c,1489,1
659,659,0,061c,1489,1
660,660,0,061c,5959,1
661,661,0,061c,5959,1
662,662,0,061c,23839,1
663,663,0,061c,23839,1
664,664,0,061c,29821,1
665,665,0,061c,29821,1
666,666,0,061c,-11787,1
667,667,0,061c,-11787,1
668,668,0,061c,18389,1
669,669,0,061c,18389,1
670,670,0,061c,8020,1
671,671,0,061c,8020,1
672,672,0,061c,8020,1
673,673,0,061c,8020,1
674,674,0,061c,8020,1
675,675,0,061c,8020,1
676,676,0,061c,8020,1
677,677,0,061c,8020,1
678,678,0,061c,8020,1
679,679,0,061c,8020,1
680,680,0,061c,8020,1
681,681,0,061c,32080,1
682,682,0,061c,32080,1
683,683,0,061c,-2751,1
684,684,0,061c,-2751,1
685,685,0,061c,-11001,1
686,686,0,061c,-11001,1
687,687,0,061c,21534,1
688,688,0,061c,21534,1
689,689,0,061c,20601,1
690,690,0,061c,20601,1
691,691,0,061c,16868,1
692,692,0,061c,16868,1
693,693,0,061c,1937,1
694,694,0,061c,1937,1
695,695,0,061c,7748,1
696,696,0,061c,7748,1
697,697,0,061c,7748,1
698,698,0,061c,7748,1
699,699,0,061c,7748,1
700,700,0,061c,7748,1
701,701,0,061c,7748,1
702,702,0,061c,7748,1
703,703,0,061c,7748,1
704,704,0,061c,7748,1
705,705,0,061c,7748,1
706,706,0,061c,30992,1
707,707,0,061c,30992,1
708,708,0,061c,-7102,1
709,709,0,061c,-7102,1
710,710,0,061c,-28408,1
711,711,0,061c,-28408,1
712,712,0,061c,17440,1
713,713,0,061c,17440,1
714,714,0,061c,4224,1
715,715,0,061c,4224,1
716,716,0,061c,16897,1
717,717,0,061c,16897,1
718,718,0,061c,2054,1
719,719,0,061c,2054,1
720,720,0,061c,8216,1
721,721,0,061c,8216,1
722,722,0,061c,8216,1
723,723,0,061c,8216,1
724,724,0,061c,8216,1
725,725,0,061c,8216,1
726,726,0,061c,8216,1
727,727,0,061c,8216,1
728,728,0,061c,8216,1
729,729,0,061c,8216,1
730,730,0,061c,8216,1
731,731,0,061c,-32672,1
732,732,0,061c,-32672,1
733,733,0,061c,385,1
734,734,0,061c,385,1
735,735,0,061c,1543,1
736,736,0,061c,1543,1
737,737,0,061c,6174,1
738,738,0,061c,6174,1
739,739,0,061c,24696,1
740,740,0,061c,24696,1
741,741,0,061c,-32286,1
742,742,0,061c,-32286,1
743,743,0,061c,1928,1
744,744,0,061c,1928,1
745,745,0,061c,7715,1
746,746,0,061c,7715,1
747,747,0,061c,7715,1
748,748,0,061c,7715,1
749,749,0,061c,7715,1
750,750,0,061c,7715,1
751,751,0,061c,7715,1
752,752,0,061c,7715,1
753,753,0,061c,7715,1
754,754,0,061c,7715,1
755,755,0,061c,7715,1
756,756,0,061c,30860,1
757,757,0,061c,30860,1
758,758,0,061c,-7631,1
759,759,0,061c,-7631,1
760,760,0,061c,-30521,1
761,761,0,061c,-30521,1
762,762,0,061c,8989,1
763,763,0,061c,8989,1
764,764,0,061c,-29580,1
765,765,0,061c,-29580,1
766,766,0,061c,12753,1
767,767,0,061c,12753,1
768,768,0,061c,-14522,1
769,769,0,061c,-14522,1
770,770,0,061c,7450,1
