Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
0,0,0,069e,6084,0
1,1,0,069e,6084,0
2,2,1,069e,6084,1
3,3,0,069e,6084,1
4,4,0,069e,6084,1
5,5,0,069e,6084,1
6,6,0,069e,6084,1
7,7,0,069e,6084,1
8,8,0,069e,6084,1
9,9,0,069e,24336,1
10,10,0,069e,24336,1
11,11,0,069e,31809,1
12,12,0,069e,31809,1
13,13,0,069e,-3835,1
14,14,0,069e,-3835,1
15,15,0,069e,-15338,1
16,16,0,069e,-15338,1
17,17,0,069e,4185,1
18,18,0,069e,4185,1
19,19,0,069e,16741,1
20,20,0,069e,16741,1
21,21,0,069e,1429,1
22,22,0,069e,1429,1
23,23,0,069e,5719,1
24,24,0,069e,5719,1
25,25,0,069e,5719,1
26,26,0,069e,5719,1
27,27,0,069e,5719,1
28,28,0,069e,5719,1
29,29,0,069e,5719,1
30,30,0,069e,5719,1
31,31,0,069e,5719,1
32,32,0,069e,5719,1
33,33,0,069e,5719,1
34,34,0,069e,22876,1
35,35,0,069e,22876,1
36,36,0,069e,25969,1
37,37,0,069e,25969,1
38,38,0,069e,-27195,1
39,39,0,069e,-27195,1
40,40,0,069e,22294,1
41,41,0,069e,22294,1
42,42,0,069e,23641,1
43,43,0,069e,23641,1
44,44,0,069e,29031,1
45,45,0,069e,29031,1
46,46,0,069e,-14945,1
47,47,0,069e,-14945,1
48,48,0,069e,5758,1
49,49,0,069e,5758,1
50,50,0,069e,5758,1
51,51,0,069e,5758,1
52,52,0,069e,5758,1
53,53,0,069e,5758,1
54,54,0,069e,5758,1
55,55,0,069e,5758,1
56,56,0,069e,5758,1
57,57,0,069e,5758,1
58,58,0,069e,5758,1
59,59,0,069e,23032,1
60,60,0,069e,23032,1
61,61,0,069e,26593,1
62,62,0,069e,26593,1
63,63,0,069e,-24699,1
64,64,0,069e,-24699,1
65,65,0,069e,32279,1
66,66,0,069e,32279,1
67,67,0,069e,-1954,1
68,68,0,069e,-1954,1
69,69,0,069e,-7816,1
70,70,0,069e,-7816,1
71,71,0,069e,-31261,1
72,72,0,069e,-31261,1
73,73,0,069e,6030,1
74,74,0,069e,6030,1
75,75,0,069e,6030,1
76,76,0,069e,6030,1
77,77,0,069e,6030,1
78,78,0,069e,6030,1
79,79,0,069e,6030,1
80,80,0,069e,6030,1
81,81,0,069e,6030,1
82,82,0,069e,6030,1
83,83,0,069e,6030,1
84,84,0,069e,24120,1
85,85,0,069e,24120,1
86,86,0,069e,30946,1
87,87,0,069e,30946,1
88,88,0,069e,-7288,1
89,89,0,069e,-7288,1
90,90,0,069e,-29152,1
