Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
0,0,0,048c,-9073,0
1,1,0,048c,-9073,0
2,2,1,048c,-9073,1
3,3,0,048c,-9073,1
4,4,0,048c,-9073,1
5,5,0,048c,-9073,1
6,6,0,048c,29247,1
7,7,0,048c,29247,1
8,8,0,048c,-14083,1
9,9,0,048c,-14083,1
10,10,0,048c,9207,1
11,11,0,048c,9207,1
12,12,0,048c,-28708,1
13,13,0,048c,-28708,1
14,14,0,048c,16242,1
15,15,0,048c,16242,1
16,16,0,048c,-567,1
17,17,0,048c,-567,1
18,18,0,048c,-2266,1
19,19,0,048c,-2266,1
20,20,0,048c,-9062,1
21,21,0,048c,-9062,1
22,22,0,048c,-9062,1
23,23,0,048c,-9062,1
24,24,0,048c,-9062,1
25,25,0,048c,-9062,1
26,26,0,048c,-9062,1
27,27,0,048c,-9062,1
28,28,0,048c,-9062,1
29,29,0,048c,-9062,1
30,30,0,048c,-9062,1
31,31,0,048c,29291,1
32,32,0,048c,29291,1
33,33,0,048c,-13907,1
34,34,0,048c,-13907,1
35,35,0,048c,9911,1
36,36,0,048c,9911,1
37,37,0,048c,-25892,1
38,38,0,048c,-25892,1
39,39,0,048c,27506,1
40,40,0,048c,27506,1
41,41,0,048c,-21047,1
42,42,0,048c,-21047,1
43,43,0,048c,-18650,1
44,44,0,048c,-18650,1
45,45,0,048c,-9064,1
46,46,0,048c,-9064,1
47,47,0,048c,-9064,1
48,48,0,048c,-9064,1
49,49,0,048c,-9064,1
50,50,0,048c,-9064,1
51,51,0,048c,-9064,1
52,52,0,048c,-9064,1
53,53,0,048c,-9064,1
54,54,0,048c,-9064,1
55,55,0,048c,-9064,1
56,56,0,048c,29283,1
57,57,0,048c,29283,1
58,58,0,048c,-13939,1
59,59,0,048c,-13939,1
60,60,0,048c,9783,1
61,61,0,048c,9783,1
62,62,0,048c,-26404,1
63,63,0,048c,-26404,1
64,64,0,048c,25458,1
65,65,0,048c,25458,1
66,66,0,048c,-29239,1
67,67,0,048c,-29239,1
68,68,0,048c,14116,1
69,69,0,048c,14116,1
70,70,0,048c,-9070,1
71,71,0,048c,-9070,1
72,72,0,048c,-9070,1
73,73,0,048c,-9070,1
74,74,0,048c,-9070,1
75,75,0,048c,-9070,1
76,76,0,048c,-9070,1
77,77,0,048c,-9070,1
78,78,0,048c,-9070,1
79,79,0,048c,-9070,1
80,80,0,048c,-9070,1
81,81,0,048c,29259,1
82,82,0,048c,29259,1
83,83,0,048c,-14035,1
84,84,0,048c,-14035,1
85,85,0,048c,9399,1
86,86,0,048c,9399,1
87,87,0,048c,-27940,1
88,88,0,048c,-27940,1
89,89,0,048c,19314,1
90,90,0,048c,19314,1
91,91,0,048c,11721,1
92,92,0,048c,11721,1
93,93,0,048c,-18652,1
94,94,0,048c,-18652,1
95,95,0,048c,-9072,1
96,96,0,048c,-9072,1
97,97,0,048c,-9072,1
98,98,0,048c,-9072,1
99,99,0,048c,-9072,1
100,100,0,048c,-9072,1
101,101,0,048c,-9072,1
102,102,0,048c,-9072,1
103,103,0,048c,-9072,1
104,104,0,048c,-9072,1
105,105,0,048c,-9072,1
106,106,0,048c,29251,1
107,107,0,048c,29251,1
108,108,0,048c,-14067,1
109,109,0,048c,-14067,1
110,110,0,048c,9271,1
111,111,0,048c,9271,1
112,112,0,048c,-28452,1
113,113,0,048c,-28452,1
114,114,0,048c,17266,1
115,115,0,048c,17266,1
116,116,0,048c,3529,1
117,117,0,048c,3529,1
118,118,0,048c,14117,1
119,119,0,048c,14117,1
120,120,0,048c,-9067,1
121,121,0,048c,-9067,1
122,122,0,048c,-9067,1
123,123,0,048c,-9067,1
124,124,0,048c,-9067,1
125,125,0,048c,-9067,1
126,126,0,048c,-9067,1
127,127,0,048c,-9067,1
128,128,0,048c,-9067,1
129,129,0,048c,-9067,1
130,130,0,048c,-9067,1
131,131,0,048c,29271,1
132,132,0,048c,29271,1
133,133,0,048c,-13987,1
134,134,0,048c,-13987,1
135,135,0,048c,9591,1
136,136,0,048c,9591,1
137,137,0,048c,-27172,1
138,138,0,048c,-27172,1
139,139,0,048c,22386,1
140,140,0,048c,22386,1
141,141,0,048c,24008,1
142,142,0,048c,24008,1
143,143,0,048c,30499,1
144,144,0,048c,30499,1
145,145,0,048c,-9073,1
146,146,0,048c,-9073,1
147,147,0,048c,-9073,1
148,148,0,048c,-9073,1
149,149,0,048c,-9073,1
150,150,0,048c,-9073,1
151,151,0,048c,-9073,1
152,152,0,048c,-9073,1
153,153,0,048c,-9073,1
154,154,0,048c,-9073,1
155,155,0,048c,-9073,1
156,156,0,048c,29247,1
157,157,0,048c,29247,1
158,158,0,048c,-14083,1
159,159,0,048c,-14083,1
160,160,0,048c,9207,1
161,161,0,048c,9207,1
162,162,0,048c,-28708,1
163,163,0,048c,-28708,1
164,164,0,048c,16242,1
165,165,0,048c,16242,1
166,166,0,048c,-567,1
167,167,0,048c,-567,1
168,168,0,048c,-2268,1
169,169,0,048c,-2268,1
170,170,0,048c,-9069,1
171,171,0,048c,-9069,1
172,172,0,048c,-9069,1
173,173,0,048c,-9069,1
174,174,0,048c,-9069,1
175,175,0,048c,-9069,1
176,176,0,048c,-9069,1
177,177,0,048c,-9069,1
178,178,0,048c,-9069,1
179,179,0,048c,-9069,1
180,180,0,048c,-9069,1
181,181,0,048c,29263,1
182,182,0,048c,29263,1
183,183,0,048c,-14019,1
184,184,0,048c,-14019,1
185,185,0,048c,9463,1
186,186,0,048c,9463,1
187,187,0,048c,-27684,1
188,188,0,048c,-27684,1
189,189,0,048c,20338,1
190,190,0,048c,20338,1
191,191,0,048c,15817,1
192,192,0,048c,15817,1
193,193,0,048c,-2268,1
194,194,0,048c,-2268,1
195,195,0,048c,-9070,1
196,196,0,048c,-9070,1
197,197,0,048c,-9070,1
198,198,0,048c,-9070,1
199,199,0,048c,-9070,1
200,200,0,048c,-9070,1
201,201,0,048c,-9070,1
202,202,0,048c,-9070,1
203,203,0,048c,-9070,1
204,204,0,048c,-9070,1
205,205,0,048c,-9070,1
206,206,0,048c,29259,1
207,207,0,048c,29259,1
208,208,0,048c,-14035,1
209,209,0,048c,-14035,1
210,210,0,048c,9399,1
211,211,0,048c,9399,1
212,212,0,048c,-27940,1
213,213,0,048c,-27940,1
214,214,0,048c,19314,1
215,215,0,048c,19314,1
216,216,0,048c,11721,1
217,217,0,048c,11721,1
218,218,0,048c,-18650,1
219,219,0,048c,-18650,1
220,220,0,048c,-9061,1
221,221,0,048c,-9061,1
222,222,0,048c,-9061,1
223,223,0,048c,-9061,1
224,224,0,048c,-9061,1
225,225,0,048c,-9061,1
226,226,0,048c,-9061,1
227,227,0,048c,-9061,1
228,228,0,048c,-9061,1
229,229,0,048c,-9061,1
230,230,0,048c,-9061,1
231,231,0,048c,29295,1
232,232,0,048c,29295,1
233,233,0,048c,-13891,1
234,234,0,048c,-13891,1
235,235,0,048c,9975,1
236,236,0,048c,9975,1
237,237,0,048c,-25636,1
238,238,0,048c,-25636,1
239,239,0,048c,28530,1
240,240,0,048c,28530,1
241,241,0,048c,-16951,1
242,242,0,048c,-16951,1
243,243,0,048c,-2267,1
244,244,0,048c,-2267,1
245,245,0,048c,-9067,1
246,246,0,048c,-9067,1
247,247,0,048c,-9067,1
248,248,0,048c,-9067,1
249,249,0,048c,-9067,1
250,250,0,048c,-9067,1
251,251,0,048c,-9067,1
252,252,0,048c,-9067,1
253,253,0,048c,-9067,1
254,254,0,048c,-9067,1
255,255,0,048c,-9067,1
256,256,0,048c,29271,1
257,257,0,048c,29271,1
258,258,0,048c,-13987,1
259,259,0,048c,-13987,1
260,260,0,048c,9591,1
261,261,0,048c,9591,1
262,262,0,048c,-27172,1
263,263,0,048c,-27172,1
264,264,0,048c,22386,1
265,265,0,048c,22386,1
266,266,0,048c,24009,1
267,267,0,048c,24009,1
268,268,0,048c,30502,1
269,269,0,048c,30502,1
270,270,0,048c,-9061,1
271,271,0,048c,-9061,1
272,272,0,048c,-9061,1
273,273,0,048c,-9061,1
274,274,0,048c,-9061,1
275,275,0,048c,-9061,1
276,276,0,048c,-9061,1
277,277,0,048c,-9061,1
278,278,0,048c,-9061,1
279,279,0,048c,-9061,1
280,280,0,048c,-9061,1
281,281,0,048c,29295,1
282,282,0,048c,29295,1
283,283,0,048c,-13891,1
284,284,0,048c,-13891,1
285,285,0,048c,9975,1
286,286,0,048c,9975,1
287,287,0,048c,-25636,1
288,288,0,048c,-25636,1
289,289,0,048c,28530,1
290,290,0,048c,28530,1
291,291,0,048c,-16951,1
292,292,0,048c,-16951,1
293,293,0,048c,-2268,1
294,294,0,048c,-2268,1
295,295,0,048c,-9071,1
296,296,0,048c,-9071,1
297,297,0,048c,-9071,1
298,298,0,048c,-9071,1
299,299,0,048c,-9071,1
300,300,0,048c,-9071,1
301,301,0,048c,-9071,1
302,302,0,048c,-9071,1
303,303,0,048c,-9071,1
304,304,0,048c,-9071,1
305,305,0,048c,-9071,1
306,306,0,048c,29255,1
307,307,0,048c,29255,1
308,308,0,048c,-14051,1
309,309,0,048c,-14051,1
310,310,0,048c,9335,1
311,311,0,048c,9335,1
312,312,0,048c,-28196,1
313,313,0,048c,-28196,1
314,314,0,048c,18290,1
315,315,0,048c,18290,1
316,316,0,048c,7625,1
317,317,0,048c,7625,1
318,318,0,048c,30500,1
319,319,0,048c,30500,1
320,320,0,048c,-9070,1
321,321,0,048c,-9070,1
322,322,0,048c,-9070,1
323,323,0,048c,-9070,1
324,324,0,048c,-9070,1
325,325,0,048c,-9070,1
326,326,0,048c,-9070,1
327,327,0,048c,-9070,1
328,328,0,048c,-9070,1
329,329,0,048c,-9070,1
330,330,0,048c,-9070,1
331,331,0,048c,29259,1
332,332,0,048c,29259,1
333,333,0,048c,-14035,1
334,334,0,048c,-14035,1
335,335,0,048c,9399,1
336,336,0,048c,9399,1
337,337,0,048c,-27940,1
338,338,0,048c,-27940,1
339,339,0,048c,19314,1
340,340,0,048c,19314,1
341,341,0,048c,11721,1
342,342,0,048c,11721,1
343,343,0,048c,-18651,1
344,344,0,048c,-18651,1
345,345,0,048c,-9066,1
346,346,0,048c,-9066,1
347,347,0,048c,-9066,1
348,348,0,048c,-9066,1
349,349,0,048c,-9066,1
350,350,0,048c,-9066,1
351,351,0,048c,-9066,1
352,352,0,048c,-9066,1
353,353,0,048c,-9066,1
354,354,0,048c,-9066,1
355,355,0,048c,-9066,1
356,356,0,048c,29275,1
357,357,0,048c,29275,1
358,358,0,048c,-13971,1
359,359,0,048c,-13971,1
360,360,0,048c,9655,1
361,361,0,048c,9655,1
362,362,0,048c,-26916,1
363,363,0,048c,-26916,1
364,364,0,048c,23410,1
365,365,0,048c,23410,1
366,366,0,048c,28105,1
367,367,0,048c,28105,1
368,368,0,048c,-18651,1
369,369,0,048c,-18651,1
370,370,0,048c,-9068,1
371,371,0,048c,-9068,1
372,372,0,048c,-9068,1
373,373,0,048c,-9068,1
374,374,0,048c,-9068,1
375,375,0,048c,-9068,1
376,376,0,048c,-9068,1
377,377,0,048c,-9068,1
378,378,0,048c,-9068,1
379,379,0,048c,-9068,1
380,380,0,048c,-9068,1
381,381,0,048c,29267,1
382,382,0,048c,29267,1
383,383,0,048c,-14003,1
384,384,0,048c,-14003,1
385,385,0,048c,9527,1
386,386,0,048c,9527,1
387,387,0,048c,-27428,1
388,388,0,048c,-27428,1
389,389,0,048c,21362,1
390,390,0,048c,21362,1
391,391,0,048c,19914,1
392,392,0,048c,19914,1
393,393,0,048c,14120,1
394,394,0,048c,14120,1
395,395,0,048c,-9053,1
396,396,0,048c,-9053,1
397,397,0,048c,-9053,1
398,398,0,048c,-9053,1
399,399,0,048c,-9053,1
400,400,0,048c,-9053,1
401,401,0,048c,-9053,1
402,402,0,048c,-9053,1
403,403,0,048c,-9053,1
404,404,0,048c,-9053,1
405,405,0,048c,-9053,1
406,406,0,048c,29327,1
407,407,0,048c,29327,1
408,408,0,048c,-13763,1
409,409,0,048c,-13763,1
410,410,0,048c,10487,1
411,411,0,048c,10487,1
412,412,0,048c,-23588,1
413,413,0,048c,-23588,1
414,414,0,048c,-28814,1
415,415,0,048c,-28814,1
416,416,0,048c,15817,1
417,417,0,048c,15817,1
418,418,0,048c,-2268,1
419,419,0,048c,-2268,1
420,420,0,048c,-9070,1
421,421,0,048c,-9070,1
422,422,0,048c,-9070,1
423,423,0,048c,-9070,1
424,424,0,048c,-9070,1
425,425,0,048c,-9070,1
426,426,0,048c,-9070,1
427,427,0,048c,-9070,1
428,428,0,048c,-9070,1
429,429,0,048c,-9070,1
430,430,0,048c,-9070,1
431,431,0,048c,29259,1
432,432,0,048c,29259,1
433,433,0,048c,-14035,1
434,434,0,048c,-14035,1
435,435,0,048c,9399,1
436,436,0,048c,9399,1
437,437,0,048c,-27940,1
438,438,0,048c,-27940,1
439,439,0,048c,19314,1
440,440,0,048c,19314,1
441,441,0,048c,11720,1
442,442,0,048c,11720,1
443,443,0,048c,-18654,1
444,444,0,048c,-18654,1
445,445,0,048c,-9080,1
446,446,0,048c,-9080,1
447,447,0,048c,-9080,1
448,448,0,048c,-9080,1
449,449,0,048c,-9080,1
450,450,0,048c,-9080,1
451,451,0,048c,-9080,1
452,452,0,048c,-9080,1
453,453,0,048c,-9080,1
454,454,0,048c,-9080,1
455,455,0,048c,-9080,1
456,456,0,048c,29219,1
457,457,0,048c,29219,1
458,458,0,048c,-14195,1
459,459,0,048c,-14195,1
460,460,0,048c,8759,1
461,461,0,048c,8759,1
462,462,0,048c,-30500,1
463,463,0,048c,-30500,1
