Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
0,0,0,05f4,4758,0
1,1,0,05f4,4758,0
2,2,1,05f4,4758,1
3,3,0,05f4,4758,1
4,4,0,05f4,19032,1
5,5,0,05f4,19032,1
6,6,0,05f4,10593,1
7,7,0,05f4,10593,1
8,8,0,05f4,-23164,1
9,9,0,05f4,-23164,1
10,10,0,05f4,-27117,1
11,11,0,05f4,-27117,1
12,12,0,05f4,22604,1
13,13,0,05f4,22604,1
14,14,0,05f4,24880,1
15,15,0,05f4,24880,1
16,16,0,05f4,-31550,1
17,17,0,05f4,-31550,1
18,18,0,05f4,4872,1
19,19,0,05f4,4872,1
20,20,0,05f4,4872,1
21,21,0,05f4,4872,1
22,22,0,05f4,4872,1
23,23,0,05f4,4872,1
24,24,0,05f4,4872,1
25,25,0,05f4,4872,1
26,26,0,05f4,4872,1
27,27,0,05f4,4872,1
28,28,0,05f4,4872,1
29,29,0,05f4,19488,1
30,30,0,05f4,19488,1
31,31,0,05f4,12417,1
32,32,0,05f4,12417,1
33,33,0,05f4,-15868,1
34,34,0,05f4,-15868,1
35,35,0,05f4,2066,1
36,36,0,05f4,2066,1
37,37,0,05f4,8266,1
38,38,0,05f4,8266,1
39,39,0,05f4,-32471,1
40,40,0,05f4,-32471,1
41,41,0,05f4,1188,1
42,42,0,05f4,1188,1
43,43,0,05f4,4754,1
44,44,0,05f4,4754,1
45,45,0,05f4,4754,1
46,46,0,05f4,4754,1
47,47,0,05f4,4754,1
48,48,0,05f4,4754,1
49,49,0,05f4,4754,1
50,50,0,05f4,4754,1
51,51,0,05f4,4754,1
52,52,0,05f4,4754,1
53,53,0,05f4,4754,1
54,54,0,05f4,19016,1
55,55,0,05f4,19016,1
56,56,0,05f4,10529,1
57,57,0,05f4,10529,1
58,58,0,05f4,-23420,1
59,59,0,05f4,-23420,1
60,60,0,05f4,-28143,1
61,61,0,05f4,-28143,1
62,62,0,05f4,18500,1
63,63,0,05f4,18500,1
64,64,0,05f4,8465,1
65,65,0,05f4,8465,1
66,66,0,05f4,-31675,1
67,67,0,05f4,-31675,1
68,68,0,05f4,4375,1
69,69,0,05f4,4375,1
70,70,0,05f4,4375,1
71,71,0,05f4,4375,1
72,72,0,05f4,4375,1
73,73,0,05f4,4375,1
74,74,0,05f4,4375,1
75,75,0,05f4,4375,1
76,76,0,05f4,4375,1
77,77,0,05f4,4375,1
78,78,0,05f4,4375,1
79,79,0,05f4,17500,1
80,80,0,05f4,17500,1
81,81,0,05f4,4465,1
82,82,0,05f4,4465,1
83,83,0,05f4,17862,1
84,84,0,05f4,17862,1
85,85,0,05f4,5913,1
86,86,0,05f4,5913,1
87,87,0,05f4,23655,1
88,88,0,05f4,23655,1
89,89,0,05f4,29086,1
90,90,0,05f4,29086,1
91,91,0,05f4,-14725,1
92,92,0,05f4,-14725,1
93,93,0,05f4,6639,1
94,94,0,05f4,6639,1
95,95,0,05f4,6639,1
96,96,0,05f4,6639,1
97,97,0,05f4,6639,1
98,98,0,05f4,6639,1
99,99,0,05f4,6639,1
100,100,0,05f4,6639,1
101,101,0,05f4,6639,1
102,102,0,05f4,6639,1
103,103,0,05f4,6639,1
104,104,0,05f4,26556,1
105,105,0,05f4,26556,1
106,106,0,05f4,-24847,1
107,107,0,05f4,-24847,1
108,108,0,05f4,31686,1
109,109,0,05f4,31686,1
110,110,0,05f4,-4325,1
111,111,0,05f4,-4325,1
112,112,0,05f4,-17297,1
113,113,0,05f4,-17297,1
114,114,0,05f4,-3650,1
115,115,0,05f4,-3650,1
116,116,0,05f4,-14600,1
117,117,0,05f4,-14600,1
118,118,0,05f4,7136,1
119,119,0,05f4,7136,1
120,120,0,05f4,7136,1
121,121,0,05f4,7136,1
122,122,0,05f4,7136,1
123,123,0,05f4,7136,1
124,124,0,05f4,7136,1
125,125,0,05f4,7136,1
126,126,0,05f4,7136,1
127,127,0,05f4,7136,1
128,128,0,05f4,7136,1
129,129,0,05f4,28544,1
130,130,0,05f4,28544,1
131,131,0,05f4,-16896,1
132,132,0,05f4,-16896,1
133,133,0,05f4,-2045,1
134,134,0,05f4,-2045,1
135,135,0,05f4,-8177,1
136,136,0,05f4,-8177,1
137,137,0,05f4,-32705,1
138,138,0,05f4,-32705,1
139,139,0,05f4,255,1
140,140,0,05f4,255,1
141,141,0,05f4,1021,1
142,142,0,05f4,1021,1
143,143,0,05f4,4084,1
144,144,0,05f4,4084,1
145,145,0,05f4,4084,1
146,146,0,05f4,4084,1
147,147,0,05f4,4084,1
148,148,0,05f4,4084,1
149,149,0,05f4,4084,1
150,150,0,05f4,4084,1
151,151,0,05f4,4084,1
152,152,0,05f4,4084,1
153,153,0,05f4,4084,1
154,154,0,05f4,16336,1
155,155,0,05f4,16336,1
156,156,0,05f4,-192,1
157,157,0,05f4,-192,1
158,158,0,05f4,-767,1
159,159,0,05f4,-767,1
160,160,0,05f4,-3066,1
161,161,0,05f4,-3066,1
162,162,0,05f4,-12263,1
163,163,0,05f4,-12263,1
164,164,0,05f4,16484,1
165,165,0,05f4,16484,1
166,166,0,05f4,403,1
167,167,0,05f4,403,1
168,168,0,05f4,1613,1
169,169,0,05f4,1613,1
170,170,0,05f4,1613,1
171,171,0,05f4,1613,1
172,172,0,05f4,1613,1
173,173,0,05f4,1613,1
174,174,0,05f4,1613,1
175,175,0,05f4,1613,1
176,176,0,05f4,1613,1
177,177,0,05f4,1613,1
178,178,0,05f4,1613,1
179,179,0,05f4,6452,1
180,180,0,05f4,6452,1
181,181,0,05f4,25808,1
182,182,0,05f4,25808,1
183,183,0,05f4,-27838,1
184,184,0,05f4,-27838,1
185,185,0,05f4,19722,1
186,186,0,05f4,19722,1
187,187,0,05f4,13355,1
188,188,0,05f4,13355,1
189,189,0,05f4,-12113,1
190,190,0,05f4,-12113,1
191,191,0,05f4,17087,1
192,192,0,05f4,17087,1
193,193,0,05f4,2815,1
194,194,0,05f4,2815,1
195,195,0,05f4,2815,1
196,196,0,05f4,2815,1
197,197,0,05f4,2815,1
198,198,0,05f4,2815,1
199,199,0,05f4,2815,1
200,200,0,05f4,2815,1
201,201,0,05f4,2815,1
202,202,0,05f4,2815,1
203,203,0,05f4,2815,1
204,204,0,05f4,11260,1
205,205,0,05f4,11260,1
206,206,0,05f4,-20495,1
207,207,0,05f4,-20495,1
208,208,0,05f4,-16444,1
209,209,0,05f4,-16444,1
210,210,0,05f4,-237,1
211,211,0,05f4,-237,1
212,212,0,05f4,-945,1
213,213,0,05f4,-945,1
214,214,0,05f4,-3779,1
215,215,0,05f4,-3779,1
216,216,0,05f4,-15116,1
217,217,0,05f4,-15116,1
218,218,0,05f4,5073,1
219,219,0,05f4,5073,1
220,220,0,05f4,5073,1
221,221,0,05f4,5073,1
222,222,0,05f4,5073,1
223,223,0,05f4,5073,1
224,224,0,05f4,5073,1
225,225,0,05f4,5073,1
226,226,0,05f4,5073,1
227,227,0,05f4,5073,1
228,228,0,05f4,5073,1
229,229,0,05f4,20292,1
230,230,0,05f4,20292,1
231,231,0,05f4,15633,1
232,232,0,05f4,15633,1
233,233,0,05f4,-3003,1
234,234,0,05f4,-3003,1
235,235,0,05f4,-12011,1
236,236,0,05f4,-12011,1
237,237,0,05f4,17493,1
238,238,0,05f4,17493,1
239,239,0,05f4,4438,1
240,240,0,05f4,4438,1
241,241,0,05f4,17754,1
242,242,0,05f4,17754,1
243,243,0,05f4,5483,1
244,244,0,05f4,5483,1
245,245,0,05f4,5483,1
246,246,0,05f4,5483,1
247,247,0,05f4,5483,1
248,248,0,05f4,5483,1
249,249,0,05f4,5483,1
250,250,0,05f4,5483,1
251,251,0,05f4,5483,1
252,252,0,05f4,5483,1
253,253,0,05f4,5483,1
254,254,0,05f4,21932,1
255,255,0,05f4,21932,1
256,256,0,05f4,22193,1
257,257,0,05f4,22193,1
258,258,0,05f4,23237,1
259,259,0,05f4,23237,1
260,260,0,05f4,27412,1
261,261,0,05f4,27412,1
262,262,0,05f4,-21421,1
263,263,0,05f4,-21421,1
264,264,0,05f4,-20146,1
265,265,0,05f4,-20146,1
266,266,0,05f4,-15047,1
267,267,0,05f4,-15047,1
268,268,0,05f4,5348,1
269,269,0,05f4,5348,1
270,270,0,05f4,5348,1
271,271,0,05f4,5348,1
272,272,0,05f4,5348,1
273,273,0,05f4,5348,1
274,274,0,05f4,5348,1
275,275,0,05f4,5348,1
276,276,0,05f4,5348,1
277,277,0,05f4,5348,1
278,278,0,05f4,5348,1
279,279,0,05f4,21392,1
280,280,0,05f4,21392,1
281,281,0,05f4,20033,1
282,282,0,05f4,20033,1
283,283,0,05f4,14597,1
284,284,0,05f4,14597,1
285,285,0,05f4,-7145,1
286,286,0,05f4,-7145,1
287,287,0,05f4,-28579,1
288,288,0,05f4,-28579,1
289,289,0,05f4,16756,1
290,290,0,05f4,16756,1
291,291,0,05f4,1489,1
292,292,0,05f4,1489,1
293,293,0,05f4,5956,1
294,294,0,05f4,5956,1
295,295,0,05f4,5956,1
296,296,0,05f4,5956,1
297,297,0,05f4,5956,1
298,298,0,05f4,5956,1
299,299,0,05f4,5956,1
300,300,0,05f4,5956,1
301,301,0,05f4,5956,1
302,302,0,05f4,5956,1
303,303,0,05f4,5956,1
304,304,0,05f4,23824,1
305,305,0,05f4,23824,1
306,306,0,05f4,29761,1
307,307,0,05f4,29761,1
308,308,0,05f4,-12027,1
309,309,0,05f4,-12027,1
310,310,0,05f4,17429,1
311,311,0,05f4,17429,1
312,312,0,05f4,4183,1
313,313,0,05f4,4183,1
314,314,0,05f4,16734,1
315,315,0,05f4,16734,1
316,316,0,05f4,1402,1
317,317,0,05f4,1402,1
318,318,0,05f4,5609,1
319,319,0,05f4,5609,1
320,320,0,05f4,5609,1
321,321,0,05f4,5609,1
322,322,0,05f4,5609,1
323,323,0,05f4,5609,1
324,324,0,05f4,5609,1
325,325,0,05f4,5609,1
326,326,0,05f4,5609,1
327,327,0,05f4,5609,1
328,328,0,05f4,5609,1
329,329,0,05f4,22436,1
330,330,0,05f4,22436,1
331,331,0,05f4,24209,1
332,332,0,05f4,24209,1
333,333,0,05f4,31301,1
334,334,0,05f4,31301,1
335,335,0,05f4,-5867,1
336,336,0,05f4,-5867,1
337,337,0,05f4,-23468,1
338,338,0,05f4,-23468,1
339,339,0,05f4,-28336,1
340,340,0,05f4,-28336,1
341,341,0,05f4,17728,1
342,342,0,05f4,17728,1
343,343,0,05f4,5379,1
344,344,0,05f4,5379,1
345,345,0,05f4,5379,1
346,346,0,05f4,5379,1
347,347,0,05f4,5379,1
348,348,0,05f4,5379,1
349,349,0,05f4,5379,1
350,350,0,05f4,5379,1
351,351,0,05f4,5379,1
352,352,0,05f4,5379,1
353,353,0,05f4,5379,1
354,354,0,05f4,21516,1
355,355,0,05f4,21516,1
356,356,0,05f4,20529,1
357,357,0,05f4,20529,1
358,358,0,05f4,16581,1
359,359,0,05f4,16581,1
360,360,0,05f4,789,1
361,361,0,05f4,789,1
362,362,0,05f4,3157,1
363,363,0,05f4,3157,1
364,364,0,05f4,12629,1
365,365,0,05f4,12629,1
366,366,0,05f4,-15020,1
367,367,0,05f4,-15020,1
368,368,0,05f4,5456,1
369,369,0,05f4,5456,1
370,370,0,05f4,5456,1
371,371,0,05f4,5456,1
372,372,0,05f4,5456,1
373,373,0,05f4,5456,1
374,374,0,05f4,5456,1
375,375,0,05f4,5456,1
376,376,0,05f4,5456,1
377,377,0,05f4,5456,1
378,378,0,05f4,5456,1
379,379,0,05f4,21824,1
380,380,0,05f4,21824,1
381,381,0,05f4,21761,1
382,382,0,05f4,21761,1
383,383,0,05f4,21508,1
384,384,0,05f4,21508,1
385,385,0,05f4,20499,1
386,386,0,05f4,20499,1
387,387,0,05f4,16461,1
388,388,0,05f4,16461,1
389,389,0,05f4,309,1
390,390,0,05f4,309,1
391,391,0,05f4,1239,1
392,392,0,05f4,1239,1
393,393,0,05f4,4958,1
394,394,0,05f4,4958,1
395,395,0,05f4,4958,1
396,396,0,05f4,4958,1
397,397,0,05f4,4958,1
398,398,0,05f4,4958,1
399,399,0,05f4,4958,1
400,400,0,05f4,4958,1
401,401,0,05f4,4958,1
402,402,0,05f4,4958,1
403,403,0,05f4,4958,1
404,404,0,05f4,19832,1
405,405,0,05f4,19832,1
406,406,0,05f4,13793,1
407,407,0,05f4,13793,1
408,408,0,05f4,-10364,1
409,409,0,05f4,-10364,1
410,410,0,05f4,24083,1
411,411,0,05f4,24083,1
412,412,0,05f4,30799,1
413,413,0,05f4,30799,1
414,414,0,05f4,-7874,1
415,415,0,05f4,-7874,1
416,416,0,05f4,-31494,1
417,417,0,05f4,-31494,1
418,418,0,05f4,5096,1
419,419,0,05f4,5096,1
420,420,0,05f4,5096,1
421,421,0,05f4,5096,1
422,422,0,05f4,5096,1
423,423,0,05f4,5096,1
424,424,0,05f4,5096,1
425,425,0,05f4,5096,1
426,426,0,05f4,5096,1
427,427,0,05f4,5096,1
428,428,0,05f4,5096,1
429,429,0,05f4,20384,1
430,430,0,05f4,20384,1
431,431,0,05f4,16001,1
432,432,0,05f4,16001,1
