Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
0,0,0,066c,-3254,0
1,1,0,066c,-13014,0
2,2,1,066c,-13014,1
3,3,0,066c,13482,1
4,4,0,066c,13482,1
5,5,0,066c,-11605,1
6,6,0,066c,-11605,1
7,7,0,066c,19116,1
8,8,0,066c,19116,1
9,9,0,066c,10930,1
10,10,0,066c,10930,1
11,11,0,066c,10930,1
12,12,0,066c,10930,1
13,13,0,066c,10930,1
14,14,0,066c,10930,1
15,15,0,066c,10930,1
16,16,0,066c,10930,1
17,17,0,066c,10930,1
18,18,0,066c,10930,1
19,19,0,066c,10930,1
20,20,0,066c,-21816,1
21,21,0,066c,-21816,1
22,22,0,066c,-21726,1
23,23,0,066c,-21726,1
24,24,0,066c,-21366,1
25,25,0,066c,-21366,1
26,26,0,066c,-19925,1
27,27,0,066c,-19925,1
28,28,0,066c,-14161,1
29,29,0,066c,-14161,1
30,30,0,066c,8893,1
31,31,0,066c,8893,1
32,32,0,066c,-29961,1
33,33,0,066c,-29961,1
34,34,0,066c,11231,1
35,35,0,066c,11231,1
36,36,0,066c,11231,1
37,37,0,066c,11231,1
38,38,0,066c,11231,1
39,39,0,066c,11231,1
40,40,0,066c,11231,1
41,41,0,066c,11231,1
42,42,0,066c,11231,1
43,43,0,066c,11231,1
44,44,0,066c,11231,1
45,45,0,066c,-20612,1
46,46,0,066c,-20612,1
47,47,0,066c,-16910,1
48,48,0,066c,-16910,1
49,49,0,066c,-2102,1
50,50,0,066c,-2102,1
51,51,0,066c,-8405,1
52,52,0,066c,-8405,1
53,53,0,066c,31919,1
54,54,0,066c,31919,1
55,55,0,066c,-3394,1
56,56,0,066c,-3394,1
57,57,0,066c,-13575,1
58,58,0,066c,-13575,1
59,59,0,066c,11239,1
60,60,0,066c,11239,1
61,61,0,066c,11239,1
62,62,0,066c,11239,1
63,63,0,066c,11239,1
64,64,0,066c,11239,1
65,65,0,066c,11239,1
66,66,0,066c,11239,1
67,67,0,066c,11239,1
68,68,0,066c,11239,1
69,69,0,066c,11239,1
70,70,0,066c,-20580,1
71,71,0,066c,-20580,1
72,72,0,066c,-16781,1
73,73,0,066c,-16781,1
74,74,0,066c,-1588,1
75,75,0,066c,-1588,1
76,76,0,066c,-6352,1
77,77,0,066c,-6352,1
78,78,0,066c,-25405,1
79,79,0,066c,-25405,1
80,80,0,066c,29454,1
81,81,0,066c,29454,1
82,82,0,066c,-13256,1
83,83,0,066c,-13256,1
84,84,0,066c,12515,1
85,85,0,066c,12515,1
86,86,0,066c,12515,1
87,87,0,066c,12515,1
88,88,0,066c,12515,1
89,89,0,066c,12515,1
90,90,0,066c,12515,1
91,91,0,066c,12515,1
92,92,0,066c,12515,1
93,93,0,066c,12515,1
94,94,0,066c,12515,1
95,95,0,066c,-15476,1
96,96,0,066c,-15476,1
97,97,0,066c,3635,1
98,98,0,066c,3635,1
99,99,0,066c,14541,1
100,100,0,066c,14541,1
101,101,0,066c,-7370,1
102,102,0,066c,-7370,1
103,103,0,066c,-29478,1
104,104,0,066c,-29478,1
105,105,0,066c,13161,1
106,106,0,066c,13161,1
107,107,0,066c,-12890,1
108,108,0,066c,-12890,1
109,109,0,066c,13977,1
110,110,0,066c,13977,1
111,111,0,066c,13977,1
112,112,0,066c,13977,1
113,113,0,066c,13977,1
114,114,0,066c,13977,1
115,115,0,066c,13977,1
116,116,0,066c,13977,1
117,117,0,066c,13977,1
118,118,0,066c,13977,1
119,119,0,066c,13977,1
120,120,0,066c,-9628,1
121,121,0,066c,-9628,1
122,122,0,066c,27026,1
123,123,0,066c,27026,1
124,124,0,066c,-22966,1
125,125,0,066c,-22966,1
126,126,0,066c,-26326,1
127,127,0,066c,-26326,1
128,128,0,066c,25770,1
129,129,0,066c,25770,1
130,130,0,066c,-27992,1
131,131,0,066c,-27992,1
132,132,0,066c,19107,1
133,133,0,066c,19107,1
134,134,0,066c,10894,1
135,135,0,066c,10894,1
136,136,0,066c,10894,1
137,137,0,066c,10894,1
138,138,0,066c,10894,1
139,139,0,066c,10894,1
140,140,0,066c,10894,1
141,141,0,066c,10894,1
142,142,0,066c,10894,1
143,143,0,066c,10894,1
144,144,0,066c,10894,1
145,145,0,066c,-21960,1
146,146,0,066c,-21960,1
147,147,0,066c,-22302,1
148,148,0,066c,-22302,1
149,149,0,066c,-23672,1
150,150,0,066c,-23672,1
151,151,0,066c,-29150,1
152,152,0,066c,-29150,1
153,153,0,066c,14473,1
154,154,0,066c,14473,1
155,155,0,066c,-7642,1
156,156,0,066c,-7642,1
157,157,0,066c,-30568,1
158,158,0,066c,-30568,1
159,159,0,066c,8802,1
160,160,0,066c,8802,1
161,161,0,066c,8802,1
162,162,0,066c,8802,1
163,163,0,066c,8802,1
164,164,0,066c,8802,1
165,165,0,066c,8802,1
166,166,0,066c,8802,1
167,167,0,066c,8802,1
168,168,0,066c,8802,1
169,169,0,066c,8802,1
170,170,0,066c,-30328,1
171,171,0,066c,-30328,1
172,172,0,066c,9762,1
173,173,0,066c,9762,1
174,174,0,066c,-26487,1
175,175,0,066c,-26487,1
176,176,0,066c,25127,1
177,177,0,066c,25127,1
178,178,0,066c,-30564,1
179,179,0,066c,-30564,1
180,180,0,066c,8818,1
181,181,0,066c,8818,1
182,182,0,066c,-30264,1
183,183,0,066c,-30264,1
184,184,0,066c,10016,1
185,185,0,066c,10016,1
186,186,0,066c,10016,1
187,187,0,066c,10016,1
188,188,0,066c,10016,1
189,189,0,066c,10016,1
190,190,0,066c,10016,1
191,191,0,066c,10016,1
192,192,0,066c,10016,1
193,193,0,066c,10016,1
194,194,0,066c,10016,1
195,195,0,066c,-25472,1
196,196,0,066c,-25472,1
197,197,0,066c,29186,1
198,198,0,066c,29186,1
199,199,0,066c,-14326,1
200,200,0,066c,-14326,1
201,201,0,066c,8232,1
202,202,0,066c,8232,1
203,203,0,066c,-32606,1
204,204,0,066c,-32606,1
205,205,0,066c,650,1
