Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
0,0,0,054a,-3100,0
1,1,0,054a,-3100,0
2,2,1,054a,-3100,1
3,3,0,054a,-3100,1
4,4,0,054a,-3100,1
5,5,0,054a,-3100,1
6,6,0,054a,-12397,1
7,7,0,054a,-12397,1
8,8,0,054a,15951,1
9,9,0,054a,15951,1
10,10,0,054a,-1732,1
11,11,0,054a,-1732,1
12,12,0,054a,-6925,1
13,13,0,054a,-6925,1
14,14,0,054a,-27697,1
15,15,0,054a,-27697,1
16,16,0,054a,20284,1
17,17,0,054a,20284,1
18,18,0,054a,15601,1
19,19,0,054a,15601,1
20,20,0,054a,-3131,1
21,21,0,054a,-3131,1
22,22,0,054a,-3131,1
23,23,0,054a,-3131,1
24,24,0,054a,-3131,1
25,25,0,054a,-3131,1
26,26,0,054a,-3131,1
27,27,0,054a,-3131,1
28,28,0,054a,-3131,1
29,29,0,054a,-3131,1
30,30,0,054a,-3131,1
31,31,0,054a,-12521,1
32,32,0,054a,-12521,1
33,33,0,054a,15455,1
34,34,0,054a,15455,1
35,35,0,054a,-3716,1
36,36,0,054a,-3716,1
37,37,0,054a,-14861,1
38,38,0,054a,-14861,1
39,39,0,054a,6094,1
40,40,0,054a,6094,1
41,41,0,054a,24378,1
42,42,0,054a,24378,1
43,43,0,054a,31977,1
44,44,0,054a,31977,1
45,45,0,054a,-3163,1
46,46,0,054a,-3163,1
47,47,0,054a,-3163,1
48,48,0,054a,-3163,1
49,49,0,054a,-3163,1
50,50,0,054a,-3163,1
51,51,0,054a,-3163,1
52,52,0,054a,-3163,1
53,53,0,054a,-3163,1
54,54,0,054a,-3163,1
55,55,0,054a,-3163,1
56,56,0,054a,-12649,1
57,57,0,054a,-12649,1
58,58,0,054a,14943,1
59,59,0,054a,14943,1
60,60,0,054a,-5763,1
61,61,0,054a,-5763,1
62,62,0,054a,-23052,1
63,63,0,054a,-23052,1
64,64,0,054a,-26670,1
65,65,0,054a,-26670,1
66,66,0,054a,24392,1
67,67,0,054a,24392,1
68,68,0,054a,32034,1
69,69,0,054a,32034,1
70,70,0,054a,-2936,1
71,71,0,054a,-2936,1
72,72,0,054a,-2936,1
73,73,0,054a,-2936,1
74,74,0,054a,-2936,1
75,75,0,054a,-2936,1
76,76,0,054a,-2936,1
77,77,0,054a,-2936,1
78,78,0,054a,-2936,1
79,79,0,054a,-2936,1
80,80,0,054a,-2936,1
81,81,0,054a,-11741,1
82,82,0,054a,-11741,1
83,83,0,054a,18575,1
84,84,0,054a,18575,1
85,85,0,054a,8767,1
86,86,0,054a,8767,1
87,87,0,054a,-30467,1
88,88,0,054a,-30467,1
89,89,0,054a,9204,1
90,90,0,054a,9204,1
91,91,0,054a,-28719,1
92,92,0,054a,-28719,1
93,93,0,054a,16199,1
94,94,0,054a,16199,1
95,95,0,054a,-739,1
96,96,0,054a,-739,1
97,97,0,054a,-739,1
98,98,0,054a,-739,1
99,99,0,054a,-739,1
100,100,0,054a,-739,1
101,101,0,054a,-739,1
102,102,0,054a,-739,1
103,103,0,054a,-739,1
104,104,0,054a,-739,1
105,105,0,054a,-739,1
106,106,0,054a,-2953,1
107,107,0,054a,-2953,1
108,108,0,054a,-11809,1
109,109,0,054a,-11809,1
110,110,0,054a,18302,1
111,111,0,054a,18302,1
112,112,0,054a,7674,1
113,113,0,054a,7674,1
114,114,0,054a,30698,1
115,115,0,054a,30698,1
116,116,0,054a,-8279,1
117,117,0,054a,-8279,1
118,118,0,054a,32423,1
119,119,0,054a,32423,1
120,120,0,054a,-1378,1
121,121,0,054a,-1378,1
122,122,0,054a,-1378,1
123,123,0,054a,-1378,1
124,124,0,054a,-1378,1
125,125,0,054a,-1378,1
126,126,0,054a,-1378,1
127,127,0,054a,-1378,1
128,128,0,054a,-1378,1
129,129,0,054a,-1378,1
130,130,0,054a,-1378,1
131,131,0,054a,-5509,1
132,132,0,054a,-5509,1
133,133,0,054a,-22034,1
134,134,0,054a,-22034,1
135,135,0,054a,-22597,1
136,136,0,054a,-22597,1
137,137,0,054a,-24850,1
138,138,0,054a,-24850,1
139,139,0,054a,31674,1
140,140,0,054a,31674,1
141,141,0,054a,-4375,1
142,142,0,054a,-4375,1
143,143,0,054a,-17498,1
144,144,0,054a,-17498,1
145,145,0,054a,-4455,1
146,146,0,054a,-4455,1
147,147,0,054a,-4455,1
148,148,0,054a,-4455,1
149,149,0,054a,-4455,1
150,150,0,054a,-4455,1
151,151,0,054a,-4455,1
152,152,0,054a,-4455,1
153,153,0,054a,-4455,1
154,154,0,054a,-4455,1
155,155,0,054a,-4455,1
156,156,0,054a,-17817,1
