Sample in Buffer,Sample in Window,TRIGGER,voltage_signals[15:0],parallel_word_data[15:0],DAC_send_pulse
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX
0,0,0,05a4,-22010,0
1,1,0,05a4,-22010,0
2,2,1,05a4,-22503,1
3,3,0,05a4,-22503,1
4,4,0,05a4,-24474,1
5,5,0,05a4,-24474,1
6,6,0,05a4,-32357,1
7,7,0,05a4,-32357,1
8,8,0,05a4,1645,1
9,9,0,05a4,1645,1
10,10,0,05a4,1645,1
11,11,0,05a4,1645,1
12,12,0,05a4,1645,1
13,13,0,05a4,1645,1
14,14,0,05a4,1645,1
15,15,0,05a4,1645,1
16,16,0,05a4,1645,1
17,17,0,05a4,1645,1
18,18,0,05a4,1645,1
19,19,0,05a4,6580,1
20,20,0,05a4,6580,1
21,21,0,05a4,26320,1
22,22,0,05a4,26320,1
23,23,0,05a4,-25791,1
24,24,0,05a4,-25791,1
25,25,0,05a4,27910,1
26,26,0,05a4,27910,1
27,27,0,05a4,-19430,1
28,28,0,05a4,-19430,1
29,29,0,05a4,-12181,1
30,30,0,05a4,-12181,1
31,31,0,05a4,16812,1
32,32,0,05a4,16812,1
33,33,0,05a4,1715,1
34,34,0,05a4,1715,1
35,35,0,05a4,1715,1
36,36,0,05a4,1715,1
37,37,0,05a4,1715,1
38,38,0,05a4,1715,1
39,39,0,05a4,1715,1
40,40,0,05a4,1715,1
41,41,0,05a4,1715,1
42,42,0,05a4,1715,1
43,43,0,05a4,1715,1
44,44,0,05a4,6860,1
45,45,0,05a4,6860,1
46,46,0,05a4,27440,1
47,47,0,05a4,27440,1
48,48,0,05a4,-21311,1
49,49,0,05a4,-21311,1
50,50,0,05a4,-19706,1
51,51,0,05a4,-19706,1
52,52,0,05a4,-13287,1
53,53,0,05a4,-13287,1
54,54,0,05a4,12391,1
55,55,0,05a4,12391,1
56,56,0,05a4,-15972,1
57,57,0,05a4,-15972,1
58,58,0,05a4,1648,1
59,59,0,05a4,1648,1
60,60,0,05a4,1648,1
61,61,0,05a4,1648,1
62,62,0,05a4,1648,1
63,63,0,05a4,1648,1
64,64,0,05a4,1648,1
65,65,0,05a4,1648,1
66,66,0,05a4,1648,1
67,67,0,05a4,1648,1
68,68,0,05a4,1648,1
69,69,0,05a4,6592,1
70,70,0,05a4,6592,1
71,71,0,05a4,26368,1
72,72,0,05a4,26368,1
73,73,0,05a4,-25598,1
74,74,0,05a4,-25598,1
75,75,0,05a4,28682,1
76,76,0,05a4,28682,1
77,77,0,05a4,-16342,1
78,78,0,05a4,-16342,1
79,79,0,05a4,170,1
80,80,0,05a4,170,1
81,81,0,05a4,680,1
82,82,0,05a4,680,1
83,83,0,05a4,2720,1
84,84,0,05a4,2720,1
85,85,0,05a4,2720,1
86,86,0,05a4,2720,1
87,87,0,05a4,2720,1
88,88,0,05a4,2720,1
89,89,0,05a4,2720,1
90,90,0,05a4,2720,1
91,91,0,05a4,2720,1
92,92,0,05a4,2720,1
93,93,0,05a4,2720,1
94,94,0,05a4,10880,1
95,95,0,05a4,10880,1
96,96,0,05a4,-22015,1
97,97,0,05a4,-22015,1
98,98,0,05a4,-22524,1
99,99,0,05a4,-22524,1
100,100,0,05a4,-24560,1
101,101,0,05a4,-24560,1
102,102,0,05a4,-32701,1
103,103,0,05a4,-32701,1
104,104,0,05a4,268,1
105,105,0,05a4,268,1
106,106,0,05a4,1072,1
107,107,0,05a4,1072,1
108,108,0,05a4,4288,1
109,109,0,05a4,4288,1
110,110,0,05a4,4288,1
111,111,0,05a4,4288,1
112,112,0,05a4,4288,1
113,113,0,05a4,4288,1
114,114,0,05a4,4288,1
115,115,0,05a4,4288,1
116,116,0,05a4,4288,1
117,117,0,05a4,4288,1
118,118,0,05a4,4288,1
119,119,0,05a4,17152,1
120,120,0,05a4,17152,1
121,121,0,05a4,3072,1
122,122,0,05a4,3072,1
123,123,0,05a4,12289,1
124,124,0,05a4,12289,1
125,125,0,05a4,-16377,1
126,126,0,05a4,-16377,1
127,127,0,05a4,29,1
128,128,0,05a4,29,1
129,129,0,05a4,117,1
130,130,0,05a4,117,1
131,131,0,05a4,471,1
132,132,0,05a4,471,1
133,133,0,05a4,1886,1
134,134,0,05a4,1886,1
135,135,0,05a4,1886,1
136,136,0,05a4,1886,1
137,137,0,05a4,1886,1
138,138,0,05a4,1886,1
139,139,0,05a4,1886,1
140,140,0,05a4,1886,1
141,141,0,05a4,1886,1
142,142,0,05a4,1886,1
143,143,0,05a4,1886,1
144,144,0,05a4,7547,1
145,145,0,05a4,7547,1
146,146,0,05a4,30191,1
147,147,0,05a4,30191,1
148,148,0,05a4,-10305,1
149,149,0,05a4,-10305,1
150,150,0,05a4,24316,1
151,151,0,05a4,24316,1
152,152,0,05a4,31728,1
153,153,0,05a4,31728,1
154,154,0,05a4,-4158,1
155,155,0,05a4,-4158,1
156,156,0,05a4,-16629,1
157,157,0,05a4,-16629,1
158,158,0,05a4,-979,1
159,159,0,05a4,-979,1
160,160,0,05a4,-979,1
161,161,0,05a4,-979,1
162,162,0,05a4,-979,1
163,163,0,05a4,-979,1
164,164,0,05a4,-979,1
165,165,0,05a4,-979,1
166,166,0,05a4,-979,1
167,167,0,05a4,-979,1
168,168,0,05a4,-979,1
169,169,0,05a4,-3916,1
170,170,0,05a4,-3916,1
171,171,0,05a4,-15664,1
172,172,0,05a4,-15664,1
173,173,0,05a4,2880,1
174,174,0,05a4,2880,1
175,175,0,05a4,11521,1
176,176,0,05a4,11521,1
177,177,0,05a4,-19451,1
178,178,0,05a4,-19451,1
179,179,0,05a4,-12267,1
180,180,0,05a4,-12267,1
181,181,0,05a4,16470,1
182,182,0,05a4,16470,1
183,183,0,05a4,347,1
184,184,0,05a4,347,1
185,185,0,05a4,347,1
186,186,0,05a4,347,1
187,187,0,05a4,347,1
188,188,0,05a4,347,1
189,189,0,05a4,347,1
190,190,0,05a4,347,1
191,191,0,05a4,347,1
192,192,0,05a4,347,1
193,193,0,05a4,347,1
194,194,0,05a4,1388,1
195,195,0,05a4,1388,1
196,196,0,05a4,5552,1
197,197,0,05a4,5552,1
198,198,0,05a4,22209,1
199,199,0,05a4,22209,1
200,200,0,05a4,23301,1
201,201,0,05a4,23301,1
202,202,0,05a4,27669,1
203,203,0,05a4,27669,1
204,204,0,05a4,-20394,1
205,205,0,05a4,-20394,1
206,206,0,05a4,-16040,1
207,207,0,05a4,-16040,1
208,208,0,05a4,1376,1
209,209,0,05a4,1376,1
210,210,0,05a4,1376,1
211,211,0,05a4,1376,1
212,212,0,05a4,1376,1
213,213,0,05a4,1376,1
214,214,0,05a4,1376,1
215,215,0,05a4,1376,1
216,216,0,05a4,1376,1
217,217,0,05a4,1376,1
218,218,0,05a4,1376,1
219,219,0,05a4,5504,1
220,220,0,05a4,5504,1
221,221,0,05a4,22016,1
222,222,0,05a4,22016,1
223,223,0,05a4,22529,1
224,224,0,05a4,22529,1
225,225,0,05a4,24580,1
226,226,0,05a4,24580,1
227,227,0,05a4,-32749,1
228,228,0,05a4,-32749,1
229,229,0,05a4,76,1
230,230,0,05a4,76,1
231,231,0,05a4,306,1
232,232,0,05a4,306,1
233,233,0,05a4,1226,1
234,234,0,05a4,1226,1
235,235,0,05a4,1226,1
236,236,0,05a4,1226,1
237,237,0,05a4,1226,1
238,238,0,05a4,1226,1
239,239,0,05a4,1226,1
240,240,0,05a4,1226,1
241,241,0,05a4,1226,1
242,242,0,05a4,1226,1
243,243,0,05a4,1226,1
244,244,0,05a4,4904,1
245,245,0,05a4,4904,1
246,246,0,05a4,19616,1
247,247,0,05a4,19616,1
248,248,0,05a4,12929,1
249,249,0,05a4,12929,1
250,250,0,05a4,-13817,1
251,251,0,05a4,-13817,1
252,252,0,05a4,10268,1
253,253,0,05a4,10268,1
254,254,0,05a4,-24464,1
