1094,31.3,-923
1124,32,-863
1154,33,-854
1184,33.8,-846
1214,34.5,-746
1244,35.4,-641
1274,36.3,-537
1304,37.1,-432
1334,38,-326
1364,38.8,-220
1394,39.7,-114
1424,40.5,19.3
1454,41.4,98.7
1484,42.3,203
1514,43.1,308
1544,44,414
1574,44.9,519
1604,45.7,624
1634,46.6,731
1664,47.5,835
1694,48.3,940
1724,49.1,1046
1754,50,1149
